source,mode,threshold,reference_steps,R_final,t0.25,t0.5,t0.75,t0.9
results/prebeam/scout/depth32_seed0,fully_async_local_tau0_h0_seed101,0.5,128,5,16.0,,,
results/prebeam/scout/depth32_seed0,fully_async_local_tau0_h0_seed101,0.5,256,31,12.0,34.0,46.0,60.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau0_h0_seed101,0.75,128,2,,,,
results/prebeam/scout/depth32_seed0,fully_async_local_tau0_h0_seed101,0.75,256,6,16.0,50.0,,
results/prebeam/scout/depth32_seed0,fully_async_local_tau31_h0_seed101,0.1,128,31,10.0,30.0,42.0,50.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau31_h0_seed101,0.1,256,31,10.0,30.0,42.0,50.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau31_h0_seed101,0.25,128,31,10.0,30.0,44.0,52.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau31_h0_seed101,0.25,256,31,10.0,30.0,42.0,52.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau31_h0_seed101,0.5,128,19,12.0,60.0,,
results/prebeam/scout/depth32_seed0,fully_async_local_tau31_h0_seed101,0.5,256,23,10.0,34.0,46.0,52.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau31_h0_seed101,0.75,128,2,,,,
results/prebeam/scout/depth32_seed0,fully_async_local_tau31_h0_seed101,0.75,256,17,10.0,56.0,,
results/prebeam/scout/depth32_seed0,fully_async_local_tau8_h0.5_seed101,0.1,128,31,10.0,28.0,42.0,48.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau8_h0.5_seed101,0.1,256,31,10.0,28.0,40.0,48.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau8_h0.5_seed101,0.25,128,31,10.0,36.0,50.0,56.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau8_h0.5_seed101,0.25,256,31,10.0,36.0,46.0,54.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau8_h0.5_seed101,0.5,128,11,18.0,,,
results/prebeam/scout/depth32_seed0,fully_async_local_tau8_h0.5_seed101,0.5,256,29,12.0,36.0,54.0,64.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau8_h0.5_seed101,0.75,128,3,,,,
results/prebeam/scout/depth32_seed0,fully_async_local_tau8_h0.5_seed101,0.75,256,13,18.0,,,
results/prebeam/scout/depth32_seed0,fully_async_local_tau8_h0_seed101,0.1,128,31,10.0,30.0,42.0,50.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau8_h0_seed101,0.1,256,31,10.0,26.0,42.0,50.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau8_h0_seed101,0.25,128,31,10.0,34.0,44.0,52.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau8_h0_seed101,0.25,256,31,10.0,30.0,42.0,52.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau8_h0_seed101,0.5,128,5,16.0,,,
results/prebeam/scout/depth32_seed0,fully_async_local_tau8_h0_seed101,0.5,256,31,10.0,34.0,46.0,52.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau8_h0_seed101,0.75,128,2,,,,
results/prebeam/scout/depth32_seed0,fully_async_local_tau8_h0_seed101,0.75,256,6,16.0,50.0,,
results/prebeam/scout/depth32_seed0,random_block_b24_seed101,0.1,128,31,14.0,30.0,46.0,54.0
results/prebeam/scout/depth32_seed0,random_block_b24_seed101,0.1,256,31,12.0,30.0,46.0,54.0
results/prebeam/scout/depth32_seed0,random_block_b24_seed101,0.25,128,31,16.0,34.0,52.0,60.0
results/prebeam/scout/depth32_seed0,random_block_b24_seed101,0.25,256,31,14.0,32.0,50.0,58.0
results/prebeam/scout/depth32_seed0,random_block_b24_seed101,0.5,128,16,22.0,50.0,,
results/prebeam/scout/depth32_seed0,random_block_b24_seed101,0.5,256,25,16.0,36.0,62.0,
results/prebeam/scout/depth32_seed0,random_block_b24_seed101,0.75,128,2,,,,
results/prebeam/scout/depth32_seed0,random_block_b24_seed101,0.75,256,15,20.0,50.0,,
results/prebeam/scout/depth32_seed0,random_permutation_seed101,0.1,128,31,12.0,26.0,40.0,48.0
results/prebeam/scout/depth32_seed0,random_permutation_seed101,0.1,256,31,12.0,24.0,40.0,48.0
results/prebeam/scout/depth32_seed0,random_permutation_seed101,0.25,128,31,16.0,32.0,48.0,54.0
results/prebeam/scout/depth32_seed0,random_permutation_seed101,0.25,256,31,14.0,28.0,46.0,54.0
results/prebeam/scout/depth32_seed0,random_permutation_seed101,0.5,128,18,22.0,62.0,,
